bias_value,num_layers,units_0,units_1,units_2,learning_rate,batch_size,val_loss,units_3,units_4
1.5,3,192,224,128,1e-05,16,0.3833073675632477,,
1.5,3,192,32,32,1e-05,32,0.17575497215148062,,
1.0,5,160,256,96,1e-05,32,0.3280472084879875,32.0,32.0
1.5,3,128,64,160,1e-05,16,0.38410264253616333,256.0,192.0
1.0,4,256,256,192,5e-05,16,0.004893767414614558,96.0,224.0
1.5,5,32,128,256,5e-05,48,0.35101455450057983,32.0,256.0
1.5,3,96,64,192,5e-05,16,0.007759273750707507,160.0,224.0
0.7,5,224,160,224,1e-05,16,0.061378755839541554,192.0,96.0
1.0,4,64,160,192,1e-05,32,0.37109269201755524,32.0,256.0
0.7,3,192,256,32,5e-05,48,0.004631041258107871,224.0,160.0
1.0,5,32,128,192,5e-05,32,0.3706754893064499,64.0,160.0
1.0,5,192,192,96,5e-05,48,0.37940068542957306,64.0,96.0
1.5,3,192,192,192,5e-05,32,0.17456453945487738,128.0,160.0
1.0,4,64,32,160,0.0001,48,0.1851281658746302,160.0,64.0
1.0,3,224,160,160,5e-05,48,0.009283846709877253,64.0,32.0
